district,status,balcony,area_kitchen,area_living,area,room,floor,price,age
1.0,2.0,1.0,11.0,27.0,52.0,1,9,12500,3
1.0,1.0,2.0,6.0,42.0,58.0,3,5,8500,1
5.0,2.0,1.0,18.0,15.0,44.0,1,2,19300,2
5.0,2.0,1.0,15.0,39.0,48.0,1,8,15000,3
2.0,3.0,1.0,15.0,39.0,50.0,1,8,30800,3
2.0,2.0,1.0,7.0,30.0,46.0,2,3,17500,3
3.0,3.0,0.0,13.0,42.0,94.0,3,7,27000,3
4.0,2.0,2.0,16.0,42.0,72.0,3,5,20000,1
3.0,2.0,1.0,11.0,35.0,65.0,3,1,16000,1
5.0,2.0,1.0,21.0,82.0,138.0,3,2,28000,2
5.0,3.0,1.0,15.0,27.0,43.0,1,7,17300,3
2.0,3.0,1.0,15.0,39.0,56.0,1,1,15000,2
4.0,2.0,1.0,12.0,28.0,50.0,1,6,14000,3
4.0,2.0,1.0,15.0,27.0,41.0,1,1,18000,3
4.0,3.0,1.0,17.0,42.0,65.0,2,5,21200,3
3.0,2.0,1.0,12.0,18.0,45.0,1,5,16000,3
1.0,3.0,1.0,18.0,47.0,70.0,2,7,22300,3
3.0,2.0,1.0,6.0,39.0,53.0,2,2,13800,1
4.0,3.0,2.0,16.0,42.0,112.0,3,2,27000,3
5.0,2.0,0.0,16.0,42.0,73.0,3,7,20000,3
2.0,1.0,0.0,15.0,10.0,50.0,2,2,10000,2
3.0,1.0,1.0,9.0,20.0,38.0,1,5,10000,1
2.0,3.0,0.0,25.0,40.0,85.0,2,3,34600,3
2.0,3.0,2.0,12.0,47.0,80.0,2,3,21600,2
2.0,1.0,1.0,10.0,30.0,46.0,2,2,9000,2
2.0,2.0,0.0,15.0,27.0,45.0,2,3,21200,3
1.0,2.0,0.0,16.0,42.0,85.0,3,3,27000,3
2.0,2.0,0.0,15.0,27.0,45.0,1,3,21200,3
2.0,2.0,0.0,15.0,27.0,43.0,1,3,21200,2
3.0,3.0,0.0,15.0,27.0,44.0,1,3,15500,3
5.0,2.0,2.0,11.0,45.0,72.0,3,2,19300,1
2.0,2.0,1.0,10.0,42.0,100.0,4,3,38500,2
1.0,2.0,0.0,14.0,38.0,65.0,2,3,15000,3
2.0,3.0,0.0,16.0,42.0,68.0,2,8,36600,3
2.0,2.0,0.0,30.0,15.0,45.0,1,3,21200,2
2.0,2.0,0.0,16.0,42.0,62.0,1,4,46200,2
2.0,2.0,0.0,30.0,15.0,65.0,1,4,46200,2
2.0,3.0,1.0,20.0,18.0,49.0,1,4,23100,1
3.0,2.0,0.0,16.0,42.0,70.0,2,9,20000,3
3.0,3.0,0.0,15.0,27.0,40.0,1,9,21200,3
5.0,2.0,1.0,12.0,18.0,46.0,1,7,14700,3
5.0,2.0,0.0,18.0,42.0,69.0,2,8,18500,3
5.0,2.0,0.0,16.0,42.0,63.0,3,1,13500,3
2.0,2.0,0.0,16.0,42.0,85.0,3,2,15000,3
4.0,1.0,0.0,15.0,27.0,36.0,1,9,7500,3
2.0,1.0,0.0,15.0,27.0,30.0,1,2,9000,3
6.0,2.0,0.0,15.0,27.0,42.0,2,5,12000,3
2.0,1.0,0.0,15.0,27.0,30.0,1,3,8000,3
5.0,1.0,0.0,16.0,42.0,83.0,3,2,10000,3
3.0,1.0,0.0,16.0,42.0,90.0,3,3,8000,3
5.0,1.0,0.0,15.0,39.0,55.0,2,4,8000,3
2.0,2.0,0.0,15.0,27.0,40.0,2,2,9000,3
2.0,2.0,0.0,15.0,27.0,30.0,1,2,12000,3
5.0,2.0,0.0,15.0,42.0,70.0,2,2,11000,3
2.0,2.0,0.0,15.0,27.0,30.0,1,1,8500,3
2.0,2.0,0.0,15.0,27.0,26.0,1,3,9000,3
6.0,3.0,3.0,16.0,42.0,99.0,3,8,32700,3
5.0,2.0,2.0,23.0,100.0,150.0,4,4,30800,2
5.0,3.0,1.0,30.0,15.0,59.0,1,10,23100,3
3.0,2.0,0.0,15.0,27.0,30.0,1,2,14000,3
1.0,1.0,0.0,16.0,42.0,64.0,2,3,7500,3
3.0,1.0,0.0,15.0,39.0,49.0,2,1,7500,3
3.0,2.0,1.0,12.0,17.0,45.0,1,3,12000,3
2.0,2.0,0.0,16.0,42.0,78.0,2,2,11000,3
2.0,2.0,0.0,16.0,42.0,60.0,2,2,16000,3
3.0,2.0,0.0,15.0,27.0,40.0,1,1,16000,3
3.0,2.0,0.0,15.0,39.0,58.0,2,1,11000,3
4.0,3.0,1.0,14.0,40.0,75.0,2,3,27000,3
1.0,2.0,0.0,15.0,39.0,55.0,2,2,10000,3
2.0,2.0,0.0,15.0,39.0,51.0,2,6,25000,3
3.0,2.0,0.0,16.0,42.0,71.0,2,7,15000,3
1.0,2.0,0.0,16.0,42.0,69.0,2,5,15000,3
4.0,2.0,0.0,16.0,42.0,65.0,2,2,10000,3
3.0,2.0,0.0,16.0,42.0,82.0,3,3,24000,3
4.0,1.0,0.0,15.0,39.0,48.0,2,5,8000,3
4.0,2.0,0.0,15.0,39.0,50.0,2,1,14000,3
4.0,2.0,0.0,15.0,39.0,50.0,1,9,15000,3
4.0,2.0,0.0,15.0,27.0,40.0,1,1,11000,3
1.0,2.0,0.0,15.0,27.0,44.0,1,8,10000,3
