district,wall_material,status,balcony,area_kitchen,area_living,area,room,floor,superficiality,type_build,price
Личаківський, цегла, люкс,1,15,nan,52,2,2,3,nan,19300
Галицький, цегла, люкс,1,nan,35,45,1,9,12,nan,28900
Франківський,nan,nan,nan,25,15,45,1,8,9,nan,17300
Франківський, цегла, відмінний,1,18,15,44,1,2,3, Польський,19300
Франківський,nan, відмінний,nan,nan,nan,83,2,4,10,nan,34600
Сихівський,nan, люкс,1,nan,nan,31,1,5,9,nan,12000
Франківський, цегла, відмінний,2,23,100,150,4,4,5, Польський люкс,30800
Шевченківський, цегла, люкс,1,nan,nan,70,2,3,10,nan,25000
Шевченківський, цегла, середній,1,9,29,50,2,4,9, Чешка,8000
Франківський, цегла, відмінний,1,nan,nan,80,2,3,6,nan,27000
Сихівський,nan,nan,nan,nan,nan,48,1,4,10,nan,13500
Франківський, цегла, відмінний,1,nan,nan,60,2,8,10,nan,12000
Франківський, цегла, відмінний,1,18,10,44,1,2,10,nan,15000
Франківський, цегла, відмінний,nan,nan,nan,72,3,4,4,nan,12000
Франківський,nan, відмінний,nan,15,nan,41,1,6,12,nan,13500
Франківський, цегла, відмінний,1,nan,nan,32,1,2,2,nan,11000
Шевченківський,nan,nan,nan,nan,nan,65,2,8,10,nan,16000
Залізничний,nan,nan,nan,nan,nan,48,2,1,5,nan,10000
Франківський,nan, відмінний,1,20,nan,80,2,10,16,nan,25000
Сихівський, панель, відмінний,1,9,40,75,3,7,9, Чешка,11000
Галицький, цегла, відмінний,1,nan,nan,56,2,3,3, Польський,19300
Франківський, цегла, люкс,2,15,60,90,3,1,10,nan,22000
Галицький, цегла, відмінний,nan,19,32,52,2,1,4,nan,12000
Галицький, цегла, відмінний,nan,nan,nan,80,2,4,4, Австрійський,21200
Шевченківський,nan, відмінний,nan,22,nan,45,1,5,10,nan,19300
Франківський, цегла, середній,nan,6,13,23,1,9,9,nan,8500
Залізничний, цегла, люкс,2,25,40,67,3,7,9, Чешка,18000
Личаківський, цегла, відмінний,1,14,nan,65,2,4,5,nan,16000
Залізничний,nan, відмінний,nan,6,nan,50,2,1,5, Хрущовка,15000
Сихівський, цегла, відмінний,1,16,35,63,2,4,8,nan,19300
Шевченківський, цегла, люкс,1,20,17,44,1,4,8,nan,21200
Личаківський, цегла, середній,1,12,34,55,2,1,4, Сталінка,12000
Шевченківський,nan, люкс,1,17,37,67,2,4,20,nan,26200
Галицький, цегла, люкс,1,nan,nan,50,1,7,10,nan,19300
Галицький, цегла, люкс,1,7,30,46,2,3,5,nan,16000
Шевченківський,nan, люкс,nan,13,nan,94,3,7,11,nan,27000
Галицький, цегла, відмінний,1,10,nan,100,4,3,3, Австрійський,36600
Галицький, цегла, відмінний,1,23,45,89,2,2,3, Австрійський люкс,28900
Личаківський, цегла, люкс,1,20,nan,65,2,8,10,nan,23100
Личаківський, цегла, люкс,1,15,nan,52,2,2,3,nan,19300
Галицький, цегла, люкс,1,nan,35,45,1,9,12,nan,28900
Франківський, цегла, люкс,nan,9,35,55,2,3,5, Польський люкс,20000
Сихівський,nan, люкс,1,nan,nan,45,1,6,8,nan,17300
Личаківський, цегла, люкс,1,nan,nan,50,1,2,3, Польський,19300
Франківський, цегла, відмінний,1,10,18,40,1,7,10,nan,15500
Залізничний, цегла, середній,nan,8,18,35,1,2,2, Сталінка,6500
Галицький, цегла, люкс,1,nan,nan,50,1,7,10,nan,19300
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький, цегла, люкс,1,nan,35,45,1,9,12,nan,28900
Залізничний,nan, люкс,3,nan,nan,99,3,8,11,nan,32700
Сихівський, залізобетон, люкс,2,15,33,48,1,3,9,nan,19300
Шевченківський, цегла, відмінний,1,nan,nan,41,1,9,14,nan,14200
Франківський, цегла, люкс,nan,10,50,60,2,1,4, Австрійський,25000
Личаківський, цегла, люкс,1,nan,nan,52,1,2,3, Польський люкс,19300
Галицький,nan, відмінний,1,nan,nan,80,3,3,3, Польський,13000
Франківський, цегла, люкс,1,13,34,55,1,3,9,nan,15400
Галицький,nan, відмінний,nan,nan,nan,45,1,3,3, Австрійський,17300
Личаківський, цегла, відмінний,1,7,17,31,1,1,9, Чешка,6000
Шевченківський, цегла, люкс,nan,nan,nan,92,3,5,9,nan,30800
Личаківський, цегла, відмінний,2,50,90,160,3,2,6, Особняк,46200
Сихівський, цегла, люкс,1,14,40,75,2,10,3,nan,23100
Сихівський,nan, відмінний,1,9,nan,50,2,6,9,nan,10000
Сихівський, цегла, відмінний,1,16,20,50,1,3,11,nan,16000
Сихівський, панель, відмінний,1,8,nan,52,2,2,9, Чешка,15000
Личаківський, цегла, люкс,1,22,60,90,3,3,5,nan,23000
Франківський, цегла, відмінний,1,25,17,55,1,6,9,nan,15000
Франківський, цегла, люкс,1,30,15,59,1,10,12,nan,23100
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький, цегла, люкс,1,nan,nan,50,1,7,10,nan,19300
Галицький, цегла, люкс,1,7,30,46,2,3,5,nan,16000
Шевченківський,nan, люкс,nan,13,nan,94,3,7,11,nan,27000
Галицький, цегла, відмінний,1,10,nan,100,4,3,3, Австрійський,36600
Галицький, цегла, відмінний,1,23,45,89,2,2,3, Австрійський люкс,28900
Личаківський, цегла, люкс,1,20,nan,65,2,8,10,nan,23100
Личаківський, цегла, люкс,1,22,60,90,3,3,5,nan,23000
Франківський, цегла, відмінний,1,25,17,55,1,6,9,nan,15000
Шевченківський, цегла, люкс,nan,20,40,80,2,10,13,nan,23100
Шевченківський, цегла, люкс,1,17,60,90,3,5,9,nan,28900
Шевченківський, цегла, люкс,1,20,40,80,2,3,8,nan,23100
Шевченківський, цегла, люкс,nan,22,15,46,1,4,8,nan,19300
Сихівський, цегла, люкс,1,20,17,43,1,2,9,nan,16000
Галицький, цегла, відмінний,1,10,nan,70,3,3,5, Сталінка,20000
Галицький, цегла, відмінний,2,17,105,140,4,2,4, Польський люкс,27000
Шевченківський,nan, відмінний,nan,20,nan,43,1,3,9,nan,13500
Шевченківський, цегла, люкс,1,nan,nan,43,1,2,4,nan,13500
Галицький, цегла, відмінний,nan,26,26,52,2,1,4, Польський,13000
Сихівський, цегла, відмінний,2,18,35,70,2,4,10,nan,16000
Галицький, цегла, люкс,1,10,48,64,2,5,6, Австрійський люкс,38500
Залізничний, цегла, відмінний,nan,7,30,45,2,1,5,nan,10500
Шевченківський,nan, люкс,1,17,18,45,1,4,9,nan,21200
Шевченківський,nan, люкс,1,12,18,45,1,3,9,nan,21200
Франківський, цегла, люкс,1,nan,nan,79,2,5,10,nan,25000
Шевченківський,nan,nan,nan,nan,nan,67,3,1,5,nan,15000
Сихівський, панель, середній,1,9,18,45,1,1,9, Чешка,6500
Франківський,nan, люкс,nan,13,26,43,1,4,5,nan,15400
Франківський, цегла, люкс,2,27,35,75,2,10,11,nan,23100
Шевченківський,nan,nan,nan,nan,nan,30,1,2,3,nan,12000
Франківський, панель, середній,2,8,nan,67,3,8,9,nan,12000
Галицький,nan,nan,nan,nan,nan,30,1,1,3,nan,12000
Галицький, цегла, відмінний,1,10,nan,100,4,3,3, Австрійський,36600
Галицький, цегла, відмінний,1,23,45,89,2,2,3, Австрійський люкс,28900
Личаківський, цегла, люкс,1,20,nan,65,2,8,10,nan,23100
Личаківський, цегла, люкс,1,15,nan,52,2,2,3,nan,19300
Галицький, цегла, люкс,1,nan,35,45,1,9,12,nan,28900
Франківський,nan,nan,nan,25,15,45,1,8,9,nan,17300
Франківський, цегла, відмінний,1,18,15,44,1,2,3, Польський,19300
Франківський,nan, відмінний,nan,nan,nan,83,2,4,10,nan,34600
Сихівський,nan,nan,nan,nan,nan,40,1,2,10,nan,13000
Галицький,nan,nan,nan,nan,nan,37,1,2,5,nan,10000
Залізничний,nan,nan,nan,nan,nan,45,2,2,5,nan,11000
Шевченківський,nan,nan,nan,nan,nan,43,1,2,5,nan,13000
Шевченківський,nan,nan,nan,nan,nan,42,1,2,2,nan,8000
Шевченківський,nan,nan,nan,nan,nan,43,1,3,9,nan,13000
Галицький,nan,nan,nan,nan,nan,40,1,2,3,nan,15000
Личаківський, цегла, відмінний,nan,15,18,50,1,1,3, Австрійський,14300
Франківський,nan,nan,nan,nan,nan,48,2,3,5,nan,12000
Личаківський, цегла, люкс,1,17,39,90,3,2,9,nan,19300
Франківський,nan,nan,nan,nan,nan,25,1,10,16,nan,12000
Личаківський, цегла, люкс,1,21,11,47,1,6,6,nan,21200
Галицький,nan,nan,nan,nan,nan,46,1,3,3,nan,13000
Франківський, цегла, люкс,1,21,38,95,3,3,9,nan,23100
Сихівський, цегла, люкс,1,18,18,50,1,2,5,nan,13500
Франківський,nan,nan,nan,nan,nan,45,2,4,5,nan,12000
Сихівський,nan, люкс,nan,nan,nan,45,1,5,10,nan,23100
Галицький,nan,nan,nan,nan,nan,45,1,3,3,nan,15000
Галицький,nan, люкс,nan,nan,nan,42,1,3,3, Австрійський,22000
Шевченківський,nan,nan,nan,nan,nan,40,1,5,6,nan,13000
Залізничний,nan, відмінний,1,nan,nan,46,2,4,5,nan,15400
Галицький,nan, відмінний,nan,nan,nan,40,1,2,4, Польський,13500
Шевченківський,nan,nan,nan,nan,nan,38,1,7,9,nan,10000
Галицький,nan, люкс,nan,nan,nan,30,1,2,4, Австрійський,15400
Залізничний,nan,nan,nan,nan,nan,35,1,1,14,nan,9000
Галицький, цегла, люкс,1,nan,nan,50,1,7,10,nan,19300
Галицький, цегла, люкс,1,7,30,46,2,3,5,nan,16000
Шевченківський,nan, люкс,nan,13,nan,94,3,7,11,nan,27000
Галицький, цегла, відмінний,1,10,nan,100,4,3,3, Австрійський,36600
Галицький, цегла, відмінний,1,23,45,89,2,2,3, Австрійський люкс,28900
Личаківський, цегла, люкс,1,20,nan,65,2,8,10,nan,23100
Личаківський, цегла, люкс,1,15,nan,52,2,2,3,nan,19300
Галицький, цегла, люкс,1,nan,35,45,1,9,12,nan,28900
Франківський,nan, люкс,1,nan,nan,55,2,5,15,nan,25000
Галицький,nan, відмінний,nan,nan,nan,35,1,2,4, Австрійський,11000
Шевченківський,nan,nan,nan,nan,nan,46,1,8,9,nan,10000
Залізничний, цегла, відмінний,nan,7,30,45,2,1,5,nan,403600
Галицький, цегла, відмінний,nan,nan,nan,140,4,4,5,nan,38500
Франківський, цегла, середній,nan,6,16,30,1,3,9,nan,9000
Шевченківський,nan, люкс,1,nan,nan,44,1,4,8,nan,21200
Сихівський,nan, люкс,nan,nan,nan,45,1,2,9,nan,20800
Галицький,nan, середній,nan,nan,nan,48,1,1,3, Австрійський,7500
Залізничний,nan, середній,1,nan,nan,60,2,9,9,nan,14000
Сихівський,nan, відмінний,2,nan,nan,45,1,7,9,nan,14000
Франківський,nan, відмінний,1,nan,nan,45,1,4,10,nan,13500
Галицький,nan, відмінний,nan,16,28,48,1,1,3, Будівля старого Львова,7500
Франківський,nan, відмінний,nan,nan,nan,46,1,9,12,nan,12500
Шевченківський, цегла, відмінний,1,20,15,41,1,2,2,nan,10000
Личаківський, цегла, відмінний,2,9,nan,67,3,2,3, Австрійський,23100
Сихівський, панель, середній,1,9,nan,47,2,2,9,nan,12000
Залізничний, цегла, відмінний,1,9,nan,47,2,5,9, Чешка,11000
Сихівський, цегла,nan,2,9,nan,68,3,14,15, Чешка,12000
Шевченківський, цегла, відмінний,1,12,nan,45,1,7,11,nan,17300
Франківський, цегла, люкс,2,nan,nan,100,3,1,6,nan,21200
Личаківський,nan, люкс,1,nan,nan,48,1,8,10,nan,19300
Галицький, цегла, відмінний,nan,10,nan,80,3,1,5, Сталінка,18000
Галицький,nan, відмінний,1,nan,nan,51,1,5,9,nan,19300
Шевченківський, цегла, середній,nan,54,nan,30,1,9,9, Хрущовка,9000
Франківський,nan, відмінний,nan,nan,nan,83,2,4,10,nan,34600
Сихівський,nan, люкс,1,nan,nan,31,1,5,9,nan,12000
Франківський, цегла, відмінний,2,23,100,150,4,4,5, Польський люкс,30800
Шевченківський, цегла, люкс,1,nan,nan,70,2,3,10,nan,25000
Галицький, цегла, відмінний,nan,20,nan,45,1,3,3, Австрійський,18500
Франківський, цегла, люкс,1,30,15,59,1,10,12,nan,23100
