district,price,room,area,floor,age,status,balcony,area_kitchen,area_living
3.0,15000,2,75.0,7,3,2.0,0.0,16.0,41.0
3.0,12500,1,52.0,9,3,2.0,0.0,16.0,27.0
3.0,25350,2,67.0,6,3,3.0,0.0,15.0,40.0
3.0,19500,2,80.0,10,3,3.0,1.0,16.0,41.0
3.0,31200,2,66.0,3,3,3.0,0.0,15.0,40.0
3.0,27300,1,50.0,6,3,3.0,0.0,16.0,27.0
3.0,20000,2,82.0,7,3,3.0,0.0,16.0,41.0
1.0,14000,2,63.0,6,3,2.0,0.0,15.0,39.0
2.0,21450,1,45.0,3,3,3.0,0.0,16.0,26.0
1.0,21450,3,92.0,3,3,2.0,0.0,15.0,54.0
3.0,23400,4,175.0,5,3,2.0,0.0,17.0,74.0
5.0,17550,2,72.0,2,3,2.0,0.0,16.0,40.0
5.0,23400,1,50.0,6,3,3.0,0.0,16.0,27.0
4.0,16000,1,42.0,3,3,2.0,0.0,16.0,26.0
1.0,21450,2,70.0,7,3,3.0,0.0,16.0,40.0
1.0,42900,3,149.0,2,3,3.0,0.0,17.0,60.0
3.0,20000,2,65.0,8,3,2.0,0.0,15.0,40.0
2.0,29250,2,78.0,7,3,3.0,0.0,16.0,41.0
5.0,46800,3,113.0,5,3,3.0,0.0,16.0,56.0
5.0,14000,1,45.0,7,3,2.0,0.0,16.0,26.0
4.0,17550,1,45.0,6,3,2.0,0.0,16.0,26.0
3.0,46800,2,67.0,9,3,3.0,0.0,15.0,40.0
5.0,19500,1,48.0,6,3,3.0,0.0,16.0,26.0
4.0,23400,1,54.0,15,3,2.0,0.0,16.0,27.0
6.0,12800,1,56.0,3,3,2.0,0.0,16.0,27.0
4.0,13000,2,66.0,4,3,2.0,0.0,15.0,40.0
4.0,18000,2,71.0,10,3,2.0,0.0,16.0,40.0
5.0,14600,1,45.0,9,3,2.0,0.0,16.0,26.0
4.0,34710,3,88.0,4,3,3.0,0.0,15.0,53.0
5.0,20000,2,72.0,9,3,2.0,0.0,16.0,40.0
4.0,14000,1,50.0,6,3,2.0,0.0,16.0,27.0
2.0,39000,3,95.0,6,3,3.0,0.0,15.0,54.0
3.0,29250,1,63.0,4,3,3.0,0.0,16.0,28.0
