district,wall_material,status,balcony,area_kitchen,area_living,area,room,floor,superficiality,type_build,price
Личаківський, цегла, відмінний,1,11,27,52,1,9,11,nan,12500
Личаківський, цегла,nan,2,6,42,58,3,5,5, Хрущовка,8500
Франківський, цегла, відмінний,1,18,15,44,1,2,3, Польський,19300
Франківський,nan,nan,1,nan,nan,48,1,8,10,nan,15000
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький, цегла, відмінний,1,7,30,46,2,3,5,nan,17500
Шевченківський,nan, люкс,nan,13,nan,94,3,7,11,nan,27000
Сихівський, цегла, відмінний,2,nan,nan,72,3,5,5, Хрущовка,20000
Шевченківський, панель, відмінний,1,11,35,65,3,1,9, Чешка,16000
Франківський, цегла, відмінний,1,21,82,138,3,2,3, Австрійський,28000
Франківський,nan, люкс,1,nan,nan,43,1,7,10,nan,17300
Галицький, цегла, люкс,1,nan,nan,56,1,1,4, Австрійський,15000
Сихівський, цегла, відмінний,1,12,28,50,1,6,10,nan,14000
Сихівський, цегла, відмінний,1,nan,nan,41,1,1,7,nan,18000
Сихівський, цегла, люкс,1,17,42,65,2,5,9,nan,21200
Шевченківський,nan,nan,1,12,18,45,1,5,10,nan,16000
Личаківський, цегла, люкс,1,18,47,70,2,7,7,nan,22300
Франківський, цегла, відмінний,1,18,15,44,1,2,3, Польський,19300
Шевченківський, цегла, відмінний,1,6,nan,53,2,2,5, Чешка,13800
Шевченківський, цегла, середній,nan,3,nan,10,1,6,9, Чешка,3500
Шевченківський, цегла, відмінний,1,155,nan,63,1,4,10,nan,28900
Сихівський, цегла, люкс,2,16,nan,112,3,2,15,nan,27000
Франківський,nan, відмінний,nan,nan,nan,73,3,7,10,nan,20000
Галицький,nan, середній,nan,nan,10,50,2,2,3, Австрійський,10000
Шевченківський, цегла, середній,1,9,20,38,1,5,9, Чешка,10000
Галицький, цегла, люкс,nan,25,40,85,2,3,6,nan,34600
Галицький, цегла, люкс,2,12,47,80,2,3,3, Польський люкс,21600
Галицький, цегла, середній,1,10,30,46,2,2,3, Польський,9000
Галицький,nan, відмінний,nan,nan,nan,45,2,3,3,nan,21200
Личаківський,nan, відмінний,nan,nan,nan,85,3,3,5,nan,27000
Галицький,nan, відмінний,nan,nan,nan,45,1,3,5,nan,21200
Галицький,nan, відмінний,nan,nan,nan,43,1,3,3, Австрійський,21200
Шевченківський,nan, люкс,nan,nan,nan,44,1,3,6,nan,15500
Франківський, цегла, відмінний,2,11,45,72,3,2,5, Чешка,19300
Галицький, цегла, відмінний,1,10,nan,100,4,3,3, Австрійський,38500
Личаківський, цегла, відмінний,nan,14,38,65,2,3,11,nan,15000
Личаківський, цегла, відмінний,1,11,27,52,1,9,11,nan,12500
Личаківський, цегла,nan,2,6,42,58,3,5,5, Хрущовка,8500
Франківський, цегла, відмінний,1,18,15,44,1,2,3, Польський,19300
Франківський,nan,nan,1,nan,nan,48,1,8,10,nan,15000
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький,nan, люкс,nan,nan,nan,68,2,8,14,nan,36600
Галицький,nan, відмінний,nan,30,15,45,1,3,3, Австрійський,21200
Галицький,nan, відмінний,nan,nan,nan,62,1,4,4, Австрійський,46200
Галицький, цегла, відмінний,nan,30,15,65,1,4,4, Австрійський люкс,46200
Галицький, цегла, люкс,1,20,18,49,1,4,10, Чешка,23100
Шевченківський,nan, відмінний,nan,nan,nan,70,2,9,10,nan,20000
Шевченківський, цегла, люкс,nan,nan,nan,40,1,9,12,nan,21200
Франківський, цегла, відмінний,1,12,18,46,1,7,12,nan,14700
Франківський, цегла, відмінний,nan,18,nan,69,2,8,12,nan,18500
Франківський,nan,nan,nan,nan,nan,63,3,1,9,nan,13500
Галицький,nan,nan,nan,nan,nan,85,3,2,5,nan,15000
Сихівський,nan,nan,nan,nan,nan,36,1,9,9,nan,7500
Галицький,nan,nan,nan,nan,nan,30,1,2,3,nan,9000
Залізничний,nan,nan,nan,nan,nan,42,2,5,5,nan,12000
Галицький,nan,nan,nan,nan,nan,30,1,3,3,nan,8000
Франківський,nan,nan,nan,nan,nan,83,3,2,10,nan,10000
Шевченківський,nan,nan,nan,nan,nan,90,3,3,9,nan,8000
