district,wall_material,status,balcony,area_kitchen,area_living,area,room,floor,superficiality,type_build,price
Галицький, цегла, люкс,1,7,30,46,2,3,5,nan,16000
Сихівський,nan, люкс,1,nan,nan,31,1,5,9,nan,10000
Личаківський,nan, відмінний,1,10,nan,75,2,3,3, Австрійський,30800
Шевченківський, цегла, люкс,nan,20,12,45,1,1,9,nan,23100
Личаківський, цегла, люкс,1,13,nan,52,2,2,3,nan,15400
Галицький, цегла, люкс,1,nan,nan,50,1,7,10,nan,19300
Личаківський, цегла, люкс,1,20,nan,65,2,8,10,nan,23100
Галицький, цегла, люкс,1,nan,35,45,1,9,12,nan,27000
Шевченківський,nan, відмінний,2,nan,nan,75,2,6,10,nan,34600
Сихівський,nan, люкс,nan,nan,nan,87,3,3,10,nan,34300
Личаківський, цегла, відмінний,nan,nan,nan,40,1,3,3, Австрійський,12000
Сихівський,nan, відмінний,nan,nan,nan,40,1,2,10,nan,19300
Сихівський,nan, люкс,nan,nan,nan,115,4,2,2,nan,38500
Франківський, керамічний блок, люкс,nan,13,18,41,1,6,9,nan,653400
Галицький, цегла, відмінний,1,8,nan,90,3,3,3, Польський люкс,25000
Шевченківський, цегла, відмінний,nan,19,nan,72,2,7,9,nan,24000
Личаківський,nan,nan,nan,15,nan,65,2,5,9,nan,21200
Шевченківський,nan, люкс,nan,232,284,696,2,1,10, Чешка,25000
Шевченківський, цегла, відмінний,1,14,35,70,2,5,9,nan,21200
Галицький, цегла, люкс,1,9,35,60,2,3,4, Австрійський люкс,23100
Залізничний, цегла, відмінний,nan,nan,nan,35,1,2,3, Австрійський,10000
Галицький,nan, відмінний,nan,nan,nan,45,1,3,3,nan,18500
Шевченківський, цегла, люкс,1,12,38,65,2,6,16,nan,25000
Галицький,nan, відмінний,nan,20,15,45,1,3,3, Австрійський,19300
Галицький,nan, люкс,nan,nan,nan,75,2,4,10,nan,30800
Личаківський, цегла, відмінний,nan,17,nan,117,3,4,5,nan,20000
Сихівський, цегла, люкс,nan,16,18,45,1,6,10,nan,17300
Галицький,nan, відмінний,nan,nan,nan,42,1,3,3, Австрійський,19300
Галицький,nan, відмінний,nan,20,nan,45,1,3,3, Австрійський,19300
Шевченківський, цегла, відмінний,nan,25,nan,58,2,8,9,nan,23100
Сихівський, цегла, відмінний,nan,50,45,110,3,8,15,nan,42300
Сихівський, цегла, відмінний,1,50,45,110,3,8,15,nan,42300
Франківський, цегла, відмінний,1,10,25,47,2,3,9, Чешка,14000
Личаківський, цегла, люкс,1,13,nan,52,2,2,3,nan,15400
Галицький, цегла, люкс,1,nan,nan,50,1,7,10,nan,19300
Личаківський, цегла, люкс,1,20,nan,65,2,8,10,nan,23100
Галицький, цегла, люкс,1,nan,35,45,1,9,12,nan,27000
Галицький,nan, відмінний,nan,nan,nan,20,1,1,4, Будівля старого Львова,15000
Галицький, цегла, відмінний,nan,nan,nan,25,1,1,4, Будівля старого Львова,15000
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький, цегла, люкс,1,7,30,46,2,3,5,nan,16000
Франківський, цегла, відмінний,1,10,25,47,2,3,9, Чешка,14000
Франківський, цегла, відмінний,1,14,nan,55,2,3,5, Чешка,9500
Франківський, цегла, відмінний,1,129,654,979,3,2,3, Австрійський,25000
Галицький, цегла, люкс,2,20,68,98,2,11,15,nan,27000
Шевченківський, цегла, відмінний,2,16,nan,63,2,7,11,nan,23100
Шевченківський,nan, відмінний,1,nan,nan,62,2,11,12,nan,25000
Сихівський, цегла, люкс,1,14,40,75,2,10,3,nan,23100
Шевченківський, цегла, відмінний,2,18,nan,64,2,4,7,nan,27000
Франківський, цегла, відмінний,1,10,25,47,2,3,9, Чешка,14000
Галицький, цегла, люкс,1,12,38,65,2,5,5, Австрійський люкс,46200
Галицький, цегла, люкс,2,nan,nan,209,4,3,3,nan,57700
Галицький, цегла, люкс,2,nan,nan,100,3,4,5,nan,38500
Франківський, цегла, відмінний,1,103,202,446,1,5,11,nan,15400
Шевченківський, цегла, люкс,1,9,35,45,1,10,20,nan,18000
Франківський,nan, відмінний,nan,nan,nan,58,1,9,12,nan,25000
Залізничний, цегла, відмінний,1,8,22,50,2,5,5,nan,11400
Залізничний, цегла, відмінний,2,10,85,145,4,5,5,nan,25000
Залізничний, цегла, люкс,nan,13,nan,96,3,1,2, Особняк,30800
Франківський, цегла, відмінний,1,18,20,50,1,5,10,nan,12500
Галицький,nan, люкс,nan,45,62,90,2,2,3, Польський,30800
Франківський, цегла, відмінний,nan,nan,nan,80,2,3,5,nan,25000
Шевченківський,nan, відмінний,nan,nan,40,52,2,1,2, Особняк,10900
Залізничний, цегла, середній,1,6,30,48,2,3,5, Хрущовка,12000
Сихівський, цегла, відмінний,1,9,35,44,1,4,5, Чешка,10000
Галицький,nan, відмінний,1,14,19,44,1,1,4, Австрійський,17700
Галицький, цегла, люкс,1,7,30,46,2,3,5,nan,16000
Сихівський,nan, люкс,1,nan,nan,31,1,5,9,nan,10000
Личаківський,nan, відмінний,1,10,nan,75,2,3,3, Австрійський,30800
Шевченківський, цегла, люкс,nan,20,12,45,1,1,9,nan,23100
Личаківський, цегла, люкс,1,13,nan,52,2,2,3,nan,15400
Галицький, цегла, люкс,1,nan,nan,50,1,7,10,nan,19300
Личаківський, цегла, люкс,1,20,nan,65,2,8,10,nan,23100
Галицький, цегла, люкс,1,nan,35,45,1,9,12,nan,27000
Франківський, цегла, відмінний,nan,10,nan,60,3,2,5, Чешка,19300
Галицький,nan, люкс,nan,nan,nan,97,2,6,7,nan,38500
Сихівський,nan, люкс,nan,nan,nan,87,3,3,9,nan,34300
Франківський, цегла, відмінний,1,6,30,51,2,1,5, Хрущовка,12000
Шевченківський, цегла, відмінний,nan,11,nan,30,1,7,10,nan,15400
Галицький, цегла, відмінний,nan,12,18,46,1,2,7,nan,14000
Личаківський, цегла, відмінний,nan,11,37,66,2,4,4,nan,14500
Галицький, цегла, відмінний,nan,nan,nan,96,3,3,4, Польський люкс,19300
Франківський,nan, відмінний,nan,nan,nan,73,3,7,10,nan,18000
Галицький, цегла, відмінний,nan,7,30,60,2,2,4, Австрійський,13000
Сихівський,nan, люкс,1,nan,nan,40,1,3,10,nan,19300
Сихівський,nan, відмінний,nan,16,37,75,2,3,10,nan,23100
Личаківський,nan,nan,nan,nan,nan,40,1,1,2,nan,15400
Шевченківський, цегла, люкс,2,15,42,728,2,8,9,nan,30800
Залізничний,nan, відмінний,nan,nan,nan,46,2,2,5, Хрущовка,11000
Сихівський,nan,nan,1,nan,nan,50,1,4,10,nan,17300
Франківський,nan, відмінний,nan,nan,nan,70,1,3,10,nan,19300
Галицький,nan, відмінний,1,nan,nan,75,2,2,7,nan,27000
Личаківський,nan, відмінний,1,nan,nan,68,2,4,4, Австрійський люкс,19000
Личаківський,nan, відмінний,nan,nan,nan,10,1,8,9, Гуртожиток,3000
Галицький,nan,nan,nan,nan,nan,70,2,2,3,nan,19300
Шевченківський,nan, відмінний,nan,18,nan,100,3,3,10,nan,25000
Шевченківський,nan,nan,nan,18,15,42,1,4,8,nan,19300
Шевченківський,nan, люкс,nan,nan,nan,40,1,1,8,nan,13000
Галицький,nan, відмінний,nan,nan,nan,50,2,2,9,nan,19300
Личаківський, цегла, люкс,1,20,nan,65,2,8,10,nan,23100
Галицький, цегла, люкс,1,nan,35,45,1,9,12,nan,27000
Галицький,nan, відмінний,nan,nan,nan,20,1,1,4, Будівля старого Львова,15000
Галицький, цегла, відмінний,nan,nan,nan,25,1,1,4, Будівля старого Львова,15000
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький, цегла, люкс,1,7,30,46,2,3,5,nan,16000
Сихівський,nan, люкс,1,nan,nan,31,1,5,9,nan,10000
Личаківський,nan, відмінний,1,10,nan,75,2,3,3, Австрійський,30800
Личаківський,nan, відмінний,1,nan,nan,68,2,4,4, Австрійський люкс,19000
Личаківський,nan, відмінний,nan,nan,nan,10,1,8,9, Гуртожиток,3000
Галицький,nan,nan,nan,nan,nan,70,2,2,3,nan,19300
Шевченківський,nan, відмінний,nan,18,nan,100,3,3,10,nan,25000
Шевченківський,nan,nan,nan,18,15,42,1,4,8,nan,19300
Шевченківський,nan, люкс,nan,nan,nan,40,1,1,8,nan,13000
Галицький,nan, відмінний,nan,nan,nan,50,2,2,9,nan,19300
Галицький,nan, відмінний,nan,nan,nan,43,1,3,4, Польський,18500
Франківський,nan,nan,nan,nan,nan,40,1,3,3, Польський,9500
Личаківський,nan, люкс,nan,nan,nan,45,1,5,10,nan,21000
Шевченківський,nan,nan,nan,nan,nan,35,1,2,8,nan,11600
Франківський,nan, відмінний,nan,nan,nan,31,1,2,5,nan,10000
Франківський,nan,nan,nan,nan,nan,48,2,7,9,nan,12000
Шевченківський,nan,nan,nan,18,16,42,1,5,10,nan,19300
Франківський,nan, відмінний,nan,nan,nan,46,1,2,10,nan,19300
Галицький,nan,nan,nan,nan,nan,43,2,4,5,nan,15000
Галицький,nan, відмінний,nan,nan,nan,40,1,2,4, Польський,13500
Франківський,nan, відмінний,1,nan,nan,40,1,1,3,nan,19300
Галицький, цегла, люкс,1,nan,nan,88,3,1,3, Австрійський люкс,23100
Галицький,nan,nan,nan,nan,nan,53,2,4,6,nan,22000
Сихівський, панель, відмінний,2,10,nan,72,3,2,9, Чешка,12000
Франківський,nan,nan,nan,nan,nan,44,1,2,17,nan,19300
Сихівський, цегла, відмінний,1,8,20,36,1,10,16,nan,15000
Франківський,nan,nan,nan,nan,nan,44,2,2,17,nan,19300
Сихівський, цегла, відмінний,1,nan,nan,84,2,3,9,nan,17000
Личаківський,nan, відмінний,1,10,nan,75,2,3,3, Австрійський,30800
Шевченківський, цегла, люкс,nan,20,12,45,1,1,9,nan,23100
Личаківський, цегла, люкс,1,13,nan,52,2,2,3,nan,15400
Галицький, цегла, люкс,1,nan,nan,50,1,7,10,nan,19300
Личаківський, цегла, люкс,1,20,nan,65,2,8,10,nan,23100
Галицький, цегла, люкс,1,nan,35,45,1,9,12,nan,27000
Галицький,nan, відмінний,nan,nan,nan,20,1,1,4, Будівля старого Львова,15000
Галицький, цегла, відмінний,nan,nan,nan,25,1,1,4, Будівля старого Львова,15000
Сихівський, цегла, відмінний,1,8,20,36,1,10,16,nan,15000
Франківський,nan,nan,nan,nan,nan,44,2,2,17,nan,19300
Сихівський, цегла, відмінний,1,nan,nan,84,2,3,9,nan,17000
Личаківський, цегла, люкс,1,nan,nan,75,2,3,5,nan,15000
Франківський, цегла, відмінний,1,nan,nan,35,1,2,5,nan,9000
Галицький,nan,nan,nan,nan,nan,74,3,14,14,nan,25000
Галицький, цегла, відмінний,nan,20,15,45,2,3,3,nan,19300
Шевченківський,nan, середній,nan,nan,nan,50,2,3,10,nan,9500
Галицький, цегла, люкс,1,nan,nan,102,3,3,3,nan,22000
Шевченківський,nan,nan,nan,nan,nan,45,2,7,8,nan,27000
Сихівський, цегла, відмінний,1,nan,nan,45,1,5,10,nan,17300
Франківський,nan, відмінний,nan,nan,nan,45,2,1,9,nan,19300
Шевченківський,nan, відмінний,nan,nan,nan,16,2,7,9, Чешка,4000
Франківський, цегла, відмінний,1,nan,nan,60,1,10,12,nan,17300
Сихівський, цегла, відмінний,1,10,nan,60,2,11,15,nan,13000
Шевченківський,nan,nan,nan,nan,nan,63,3,8,9,nan,12000
Галицький, цегла, відмінний,1,nan,nan,55,2,3,3, Австрійський,18000
Франківський,nan, відмінний,1,15,40,65,2,4,16,nan,23100
Залізничний, цегла, відмінний,1,nan,nan,48,2,6,9,nan,12000
Галицький, цегла, люкс,1,nan,nan,202,2,5,5,nan,53900
Шевченківський,nan, люкс,nan,10,40,72,3,3,3,nan,13000
Сихівський,nan, середній,2,12,45,78,3,5,5, Чешка,13000
Галицький, цегла, відмінний,nan,12,20,45,1,12,16,nan,17300
Сихівський,nan, люкс,nan,14,17,45,1,5,9,nan,12500
Личаківський,nan, відмінний,nan,nan,nan,85,3,3,5,nan,27000
Галицький, цегла, люкс,1,nan,35,45,1,9,12,nan,27000
Галицький,nan, відмінний,nan,nan,nan,20,1,1,4, Будівля старого Львова,15000
Галицький, цегла, відмінний,nan,nan,nan,25,1,1,4, Будівля старого Львова,15000
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький, цегла, люкс,1,7,30,46,2,3,5,nan,16000
Сихівський,nan, люкс,1,nan,nan,31,1,5,9,nan,10000
Личаківський,nan, відмінний,1,10,nan,75,2,3,3, Австрійський,30800
Шевченківський, цегла, люкс,nan,20,12,45,1,1,9,nan,23100
Шевченківський,nan, люкс,nan,10,40,72,3,3,3,nan,13000
Сихівський,nan, середній,2,12,45,78,3,5,5, Чешка,13000
Галицький, цегла, відмінний,nan,12,20,45,1,12,16,nan,17300
Сихівський,nan, люкс,nan,14,17,45,1,5,9,nan,12500
Личаківський,nan, відмінний,nan,nan,nan,85,3,3,5,nan,27000
Сихівський, цегла, відмінний,1,14,nan,45,1,2,10,nan,13000
Франківський,nan,nan,nan,6,40,57,3,3,5, Хрущовка,7800
Галицький,nan, відмінний,1,nan,nan,50,2,2,3, Австрійський,16000
Залізничний, цегла, відмінний,2,7,28,55,2,2,9, Брежнєвка,15000
Сихівський,nan, відмінний,nan,15,20,38,1,5,9,nan,14000
Личаківський,nan, відмінний,nan,nan,nan,70,2,2,10,nan,18000
Шевченківський, цегла, люкс,1,nan,nan,54,2,5,9,nan,12000
Залізничний,nan,nan,nan,nan,nan,29,1,1,4,nan,9900
Залізничний,nan, середній,nan,47,6,53,2,2,5, Хрущовка,14000
Сихівський,nan, відмінний,nan,nan,nan,150,5,9,10,nan,27000
Галицький, цегла, люкс,nan,nan,nan,107,3,3,4,nan,23100
Франківський,nan, відмінний,nan,14,nan,70,2,2,10,nan,17300
Шевченківський,nan,nan,nan,nan,nan,40,1,6,9,nan,19300
Сихівський,nan, відмінний,nan,nan,nan,40,1,6,10,nan,17300
Личаківський, цегла, люкс,1,nan,nan,75,2,1,9,nan,19300
Залізничний, цегла, відмінний,nan,5,nan,29,1,1,4,nan,9900
Франківський,nan, відмінний,nan,15,40,60,3,3,5, Хрущовка,19300
Шевченківський,nan,nan,nan,nan,nan,41,1,4,6,nan,25000
Шевченківський,nan,nan,nan,nan,nan,52,1,5,12,nan,15400
Шевченківський,nan,nan,nan,nan,nan,75,2,7,10,nan,19300
Личаківський, цегла, люкс,1,13,nan,52,2,2,3,nan,15400
Галицький, цегла, люкс,1,nan,nan,50,1,7,10,nan,19300
Личаківський, цегла, люкс,1,20,nan,65,2,8,10,nan,23100
Галицький, цегла, люкс,1,nan,35,45,1,9,12,nan,27000
Галицький,nan, відмінний,nan,nan,nan,20,1,1,4, Будівля старого Львова,15000
Галицький, цегла, відмінний,nan,nan,nan,25,1,1,4, Будівля старого Львова,15000
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький, цегла, люкс,1,7,30,46,2,3,5,nan,16000
Галицький,nan, відмінний,nan,nan,nan,68,2,3,4,nan,19300
Франківський, цегла, відмінний,3,nan,nan,120,3,5,6,nan,23100
Франківський,nan,nan,nan,nan,nan,50,1,2,10,nan,23100
Франківський,nan,nan,nan,nan,nan,45,1,5,12,nan,14000
Сихівський, цегла, люкс,1,nan,nan,27,1,16,16,nan,14500
Личаківський, цегла, люкс,nan,nan,nan,42,1,17,17,nan,11000
Франківський,nan,nan,nan,nan,nan,58,2,7,14,nan,16000
Франківський, цегла, люкс,1,3,15,30,1,4,5, Польський,14700
Сихівський, цегла, відмінний,1,10,20,45,1,8,10,nan,19300
Личаківський, цегла, люкс,nan,nan,nan,42,1,17,17,nan,11000
Галицький,nan, відмінний,nan,nan,nan,60,1,3,4, Австрійський,9610
Залізничний, цегла, середній,1,9,25,52,2,1,5, Брежнєвка,12000
Шевченківський,nan,nan,nan,nan,nan,68,2,8,12,nan,28900
Личаківський,nan, люкс,1,nan,nan,100,3,1,6,nan,38500
Галицький,nan,nan,nan,nan,nan,88,3,4,5,nan,24300
Сихівський,nan, відмінний,1,nan,nan,45,1,2,10,nan,16200
Франківський,nan, відмінний,nan,nan,nan,78,2,10,11,nan,19300
Сихівський,nan, відмінний,nan,5,20,27,1,16,16,nan,14000
Шевченківський,nan,nan,nan,nan,nan,15000,1,1,12,nan,15000
Шевченківський,nan,nan,nan,nan,nan,52,1,9,10,nan,18000
Франківський,nan, відмінний,3,nan,nan,80,2,5,10,nan,18000
Личаківський, цегла, люкс,1,12,18,45,1,2,9,nan,13500
Галицький,nan, відмінний,nan,nan,nan,60,2,3,3, Польський,16000
Шевченківський,nan,nan,nan,nan,nan,40,1,2,9,nan,15400
Франківський, цегла, люкс,1,18,20,44,1,2,3,nan,19300
Галицький, цегла, люкс,1,nan,35,45,1,9,12,nan,27000
Галицький,nan, відмінний,nan,nan,nan,20,1,1,4, Будівля старого Львова,15000
Галицький, цегла, відмінний,nan,nan,nan,25,1,1,4, Будівля старого Львова,15000
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький, цегла, люкс,1,7,30,46,2,3,5,nan,16000
Сихівський,nan, люкс,1,nan,nan,31,1,5,9,nan,10000
Личаківський,nan, відмінний,1,10,nan,75,2,3,3, Австрійський,30800
Шевченківський, цегла, люкс,nan,20,12,45,1,1,9,nan,23100
Франківський,nan, відмінний,3,nan,nan,80,2,5,10,nan,18000
Личаківський, цегла, люкс,1,12,18,45,1,2,9,nan,13500
Галицький,nan, відмінний,nan,nan,nan,60,2,3,3, Польський,16000
Шевченківський,nan,nan,nan,nan,nan,40,1,2,9,nan,15400
Франківський, цегла, люкс,1,18,20,44,1,2,3,nan,19300
Залізничний, цегла, люкс,1,15,17,42,1,2,10,nan,12500
Шевченківський,nan, відмінний,nan,nan,nan,50,1,1,10,nan,16000
Галицький,nan, відмінний,1,nan,nan,40,1,2,4, Австрійський,19300
Галицький,nan,nan,nan,nan,nan,68,2,2,4,nan,28900
Франківський,nan,nan,nan,nan,nan,46,1,13,15,nan,17300
Залізничний,nan, відмінний,nan,nan,nan,55,2,1,4,nan,9500
Сихівський,nan, відмінний,1,nan,nan,48,1,5,10,nan,15000
Личаківський, цегла, відмінний,2,15,nan,70,2,2,9,nan,18000
Шевченківський,nan,nan,nan,nan,nan,35,1,2,5,nan,10000
Галицький,nan, відмінний,1,nan,nan,75,2,10,12,nan,50000
Шевченківський,nan,nan,nan,nan,nan,72,2,9,12,nan,23100
Франківський,nan, відмінний,1,nan,nan,85,2,2,3,nan,21200
Галицький,nan,nan,nan,nan,nan,90,2,4,4,nan,30800
Франківський,nan,nan,nan,nan,nan,60,2,6,9,nan,27000
Шевченківський, цегла, люкс,1,22,45,80,2,2,15,nan,30800
Шевченківський,nan,nan,nan,nan,nan,72,2,8,12,nan,46200
Залізничний,nan, відмінний,1,nan,nan,60,3,5,5, Хрущовка,12000
Франківський,nan, відмінний,nan,nan,nan,58,1,4,10,nan,21200
Галицький,nan,nan,nan,6,nan,63,2,3,3,nan,13500
Шевченківський, цегла, відмінний,1,nan,nan,45,1,6,10,nan,10500
Личаківський, цегла, люкс,1,13,nan,52,2,2,3,nan,15400
Галицький, цегла, люкс,1,nan,nan,50,1,7,10,nan,19300
Личаківський, цегла, люкс,1,20,nan,65,2,8,10,nan,23100
Галицький, цегла, люкс,1,nan,35,45,1,9,12,nan,27000
Галицький,nan, відмінний,nan,nan,nan,20,1,1,4, Будівля старого Львова,15000
Галицький, цегла, відмінний,nan,nan,nan,25,1,1,4, Будівля старого Львова,15000
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький, цегла, люкс,1,7,30,46,2,3,5,nan,16000
Шевченківський, цегла, люкс,1,22,45,80,2,2,15,nan,30800
Шевченківський,nan,nan,nan,nan,nan,72,2,8,12,nan,46200
Залізничний,nan, відмінний,1,nan,nan,60,3,5,5, Хрущовка,12000
Франківський,nan, відмінний,nan,nan,nan,58,1,4,10,nan,21200
Галицький,nan,nan,nan,6,nan,63,2,3,3,nan,13500
Шевченківський, цегла, відмінний,1,nan,nan,45,1,6,10,nan,10500
Шевченківський,nan,nan,nan,nan,nan,58,1,2,4,nan,21200
Франківський, цегла, відмінний,1,8,20,36,1,10,16,nan,15000
Франківський, цегла, люкс,1,30,50,70,2,9,12,nan,19300
Личаківський,nan, відмінний,nan,nan,nan,45,1,3,10,nan,15400
Галицький,nan,nan,nan,nan,nan,55,2,2,3, Австрійський,12000
Франківський, цегла, відмінний,1,nan,nan,51,1,8,10,nan,14000
Сихівський,nan,nan,nan,nan,nan,45,1,2,10,nan,16200
Франківський, панель, середній,1,6,18,18,3,2,5, Брежнєвка,4500
Франківський, цегла, відмінний,1,10,28,48,2,3,5, Чешка,15400
Галицький,nan, відмінний,2,nan,nan,65,2,4,6,nan,27000
Шевченківський,nan, люкс,1,20,nan,40,1,12,12,nan,21200
Франківський, цегла, відмінний,nan,12,20,45,1,12,16,nan,17300
Сихівський,nan, відмінний,1,nan,nan,50,1,10,25,nan,17300
Личаківський,nan,nan,nan,nan,nan,75,4,4,9,nan,18000
Личаківський, цегла, відмінний,1,13,nan,46,1,3,10,nan,17300
Залізничний, цегла, відмінний,1,16,55,77,2,7,10, Чешка,17300
Сихівський,nan, відмінний,nan,nan,nan,43,2,1,12,nan,16000
Личаківський, цегла, відмінний,1,15,52,80,2,1,9,nan,19300
Шевченківський,nan, люкс,nan,20,nan,42,1,3,10,nan,21200
Галицький,nan, відмінний,nan,nan,nan,20,1,1,4, Будівля старого Львова,15000
Галицький, цегла, відмінний,nan,nan,nan,25,1,1,4, Будівля старого Львова,15000
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький, цегла, люкс,1,7,30,46,2,3,5,nan,16000
Сихівський,nan, люкс,1,nan,nan,31,1,5,9,nan,10000
Личаківський,nan, відмінний,1,10,nan,75,2,3,3, Австрійський,30800
Шевченківський, цегла, люкс,nan,20,12,45,1,1,9,nan,23100
Личаківський, цегла, люкс,1,13,nan,52,2,2,3,nan,15400
Залізничний, цегла, відмінний,1,16,55,77,2,7,10, Чешка,17300
Сихівський,nan, відмінний,nan,nan,nan,43,2,1,12,nan,16000
Личаківський, цегла, відмінний,1,15,52,80,2,1,9,nan,19300
Шевченківський,nan, люкс,nan,20,nan,42,1,3,10,nan,21200
Франківський,nan,nan,nan,nan,nan,48,1,1,9,nan,10000
Галицький,nan, відмінний,nan,10,nan,50,2,2,4, Австрійський,23100
Франківський,nan, відмінний,nan,nan,nan,42,1,4,6,nan,15400
Франківський,nan,nan,nan,nan,nan,46,1,13,10,nan,17300
Галицький,nan, середній,1,nan,nan,80,3,1,5, Чешка,21000
Франківський, цегла, відмінний,1,19,70,115,3,3,5,nan,27000
Франківський,nan, відмінний,1,nan,nan,65,2,6,7,nan,14000
Шевченківський,nan, люкс,1,nan,nan,46,1,3,12,nan,21200
Личаківський,nan,nan,nan,nan,nan,40,1,15,16,nan,14000
Галицький, цегла, відмінний,1,nan,nan,85,2,3,6,nan,19300
Шевченківський, цегла, відмінний,1,30,nan,40,1,7,12,nan,30800
Личаківський, цегла, відмінний,1,10,20,45,1,8,10,nan,19300
Сихівський,nan, відмінний,1,nan,nan,40,1,5,7,nan,15400
Франківський, цегла, відмінний,1,23,nan,45,2,7,8,nan,27000
Франківський,nan, відмінний,nan,nan,nan,40,1,5,7,nan,15400
Личаківський,nan, відмінний,1,nan,nan,45,1,2,10,nan,16200
Сихівський,nan,nan,nan,nan,nan,50,2,6,10,nan,16000
Залізничний, цегла, відмінний,1,8,nan,62,2,8,9,nan,17300
Сихівський, цегла, люкс,nan,nan,nan,59,3,1,5,nan,12000
Шевченківський,nan, відмінний,1,nan,nan,50,2,4,9, Чешка,9000
Сихівський,nan,nan,nan,nan,nan,50,2,6,10,nan,16000
Галицький,nan, відмінний,nan,nan,nan,20,1,1,4, Будівля старого Львова,15000
Галицький, цегла, відмінний,nan,nan,nan,25,1,1,4, Будівля старого Львова,15000
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький, цегла, люкс,1,7,30,46,2,3,5,nan,16000
Сихівський,nan, люкс,1,nan,nan,31,1,5,9,nan,10000
Личаківський,nan, відмінний,1,10,nan,75,2,3,3, Австрійський,30800
Шевченківський, цегла, люкс,nan,20,12,45,1,1,9,nan,23100
Личаківський, цегла, люкс,1,13,nan,52,2,2,3,nan,15400
